"ensembl_gene_id","external_gene_name","branch"
"ENSG00000162714","ZNF496",5
"ENSG00000189180","ZNF33A",6
"ENSG00000125945","ZNF436",3
"ENSG00000175395","ZNF25",5
"ENSG00000075407","ZNF37A",10
"ENSG00000188295","ZNF669",8
"ENSG00000198298","ZNF485",5
"ENSG00000187801","ZFP69B",5
"ENSG00000198105","ZNF248",5
"ENSG00000196693","ZNF33B",5
"ENSG00000196418","ZNF124",8
"ENSG00000181450","ZNF678",9
"ENSG00000121903","ZSCAN20",3
"ENSG00000197472","ZNF695",6
"ENSG00000117010","ZNF684",5
"ENSG00000187815","ZFP69",5
"ENSG00000005801","ZNF195",8
"ENSG00000090612","ZNF268",5
"ENSG00000256223","ZNF10",5
"ENSG00000149054","ZNF215",5
"ENSG00000167528","ZNF641",3
"ENSG00000149050","ZNF214",5
"ENSG00000176371","ZSCAN2",4
"ENSG00000198393","ZNF26",5
"ENSG00000196387","ZNF140",5
"ENSG00000166261","ZNF202",4
"ENSG00000198040","ZNF84",5
"ENSG00000196458","ZNF605",5
"ENSG00000196946","ZNF705A",12
"ENSG00000140265","ZSCAN29",4
"ENSG00000006194","ZNF263",3
"ENSG00000103199","ZNF500",3
"ENSG00000099326","MZF1",7
"ENSG00000122386","ZNF205",3
"ENSG00000229809","ZNF688",4
"ENSG00000130182","ZSCAN10",3
"ENSG00000169951","ZNF764",4
"ENSG00000186812","ZNF397",5
"ENSG00000167840","ZNF232",5
"ENSG00000169955","ZNF747",7
"ENSG00000172466","ZNF24",4
"ENSG00000103343","ZNF174",3
"ENSG00000140987","ZSCAN32",3
"ENSG00000156853","ZNF689",4
"ENSG00000157429","ZNF19",5
"ENSG00000186496","ZNF396",4
"ENSG00000170100","ZNF778",8
"ENSG00000154957","ZNF18",4
"ENSG00000167981","ZNF597",5
"ENSG00000197566","ZNF624",5
"ENSG00000197302","ZNF720",8
"ENSG00000185947","ZNF267",9
"ENSG00000167377","ZNF23",5
"ENSG00000141040","ZNF287",5
"ENSG00000181666","ZNF875",2
"ENSG00000155592","ZKSCAN2",3
"ENSG00000184517","ZFP1",7
"ENSG00000198300","PEG3",4
"ENSG00000197162","ZNF785",4
"ENSG00000010539","ZNF200",3
"ENSG00000184939","ZFP90",4
"ENSG00000126856","PRDM7",5
"ENSG00000085644","ZNF213",3
"ENSG00000162086","ZNF75A",4
"ENSG00000175322","ZNF519",8
"ENSG00000083817","ZNF416",2
"ENSG00000159885","ZNF222",9
"ENSG00000083812","ZNF324",5
"ENSG00000167384","ZNF180",5
"ENSG00000256087","ZNF432",7
"ENSG00000105136","ZNF419",2
"ENSG00000128000","ZNF780B",4
"ENSG00000130803","ZNF317",5
"ENSG00000256683","ZNF350",7
"ENSG00000198342","ZNF442",8
"ENSG00000121413","ZSCAN18",5
"ENSG00000121417","ZNF211",4
"ENSG00000121406","ZNF549",8
"ENSG00000204604","ZNF468",8
"ENSG00000159905","ZNF221",7
"ENSG00000131849","ZNF132",4
"ENSG00000130544","ZNF557",9
"ENSG00000130844","ZNF331",7
"ENSG00000130818","ZNF426",7
"ENSG00000196757","ZNF700",8
"ENSG00000105497","ZNF175",4
"ENSG00000083844","ZNF264",2
"ENSG00000124459","ZNF45",5
"ENSG00000142556","ZNF614",7
"ENSG00000198131","ZNF544",4
"ENSG00000118620","ZNF430",8
